"name","party","constituency","email"
"Rosie Cooper","Labour","West Lancashire","rosie@rosiecooper.net"
"Rt Hon Yvette Cooper","Labour","Normanton, Pontefract and Castleford","coopery@parliament.uk"
"Jeremy Corbyn","Labour","Islington North","corbynj@parliament.uk"
"Alberto Costa","Conservative","South Leicestershire","diana.thompson@parliament.uk "
"Ronnie Cowan","Scottish National Party","Inverclyde","ronnie.cowan.mp@parliament.uk"
"Mr Geoffrey Cox QC","Conservative","Torridge and West Devon","coxg@parliament.uk"
"Jo Cox","Labour","Batley and Spen","jo.cox.mp@parliament.uk"
"Neil Coyle","Labour","Bermondsey and Old Southwark","neil.coyle.mp@parliament.uk"
"Rt Hon Stephen Crabb","Conservative","Preseli Pembrokeshire","stephen.crabb.mp@parliament.uk"
"Mr David Crausby","Labour","Bolton North East","crausbyd@parliament.uk"
"Angela Crawley","Scottish National Party","Lanark and Hamilton East","angela.crawley.mp@parliament.uk"
"Mary Creagh","Labour","Wakefield","creaghm@parliament.uk"
"Stella Creasy","Labour (Co-op)","Walthamstow","stella.creasy.mp@parliament.uk"
"Tracey Crouch","Conservative","Chatham and Aylesford","tracey.crouch.mp@parliament.uk"
"Jon Cruddas","Labour","Dagenham and Rainham","cruddasj@parliament.uk"
"John Cryer","Labour","Leyton and Wanstead","john.cryer.mp@parliament.uk"
"Judith Cummins","Labour","Bradford South","judith.cummins.mp@parliament.uk"
"Alex Cunningham","Labour","Stockton North","alex.cunningham.mp@parliament.uk"
"Mr Jim Cunningham","Labour","Coventry South","eleanorm.connolly@parliament.uk"
"Nic Dakin","Labour","Scunthorpe","nic.dakin.mp@parliament.uk"
"Simon Danczuk","Labour","Rochdale","simon.danczuk.mp@parliament.uk"
"Wayne David","Labour","Caerphilly","davidw@parliament.uk"
"Byron Davies","Conservative","Gower","byron.davies.mp@parliament.uk"
"Chris Davies","Conservative","Brecon and Radnorshire","chris.davies.mp@parliament.uk"
"David T. C. Davies","Conservative","Monmouth","david.davies.mp@parliament.uk"
"Geraint Davies","Labour (Co-op)","Swansea West","geraint.davies.mp@parliament.uk"
"Glyn Davies","Conservative","Montgomeryshire","phillip.carlick@parliament.uk"
"Dr James Davies","Conservative","Vale of Clwyd","james.davies.mp@parliament.uk"
"Mims Davies","Conservative","Eastleigh","mims.davies.mp@parliament.uk"
"Philip Davies","Conservative","Shipley","daviesp@parliament.uk"
"Rt Hon David Davis","Conservative","Haltemprice and Howden","david.davis.mp@parliament.uk"
"Martyn Day","Scottish National Party","Linlithgow and East Falkirk","martyn.day.mp@parliament.uk"
"Gloria De Piero","Labour","Ashfield","gloria.depiero.mp@parliament.uk"
"Thangam Debbonaire","Labour","Bristol West","thangam.debbonaire.mp@parliament.uk"
"Caroline Dinenage","Conservative","Gosport","caroline.dinenage.mp@parliament.uk"
"Mr Jonathan Djanogly","Conservative","Huntingdon","jonathan.djanogly.mp@parliament.uk"
"Martin John Docherty","Scottish National Party","West Dunbartonshire","martin.docherty.mp@parliament.uk"
"Rt Hon Nigel Dodds","Democratic Unionist Party","Belfast North","doddsn@parliament.uk"
"Mr Pat Doherty","Sinn Fein","West Tyrone","dohertyp@parliament.uk"
"Rt Hon Jeffrey M. Donaldson","Democratic Unionist Party","Lagan Valley","jeffrey.donaldson.mp@parliament.uk"
"Stuart Blair Donaldson","Scottish National Party","West Aberdeenshire and Kincardine","stuart.donaldson.mp@parliament.uk"
"Michelle Donelan","Conservative","Chippenham","michelle.donelan.mp@parliament.uk"
"Nadine Dorries","Conservative","Mid Bedfordshire","dorriesn@parliament.uk"
"Steve Double","Conservative","St Austell and Newquay","steve.double.mp@parliament.uk"
"Stephen Doughty","Labour (Co-op)","Cardiff South and Penarth","stephen.doughty.mp@parliament.uk"
"Jim Dowd","Labour","Lewisham West and Penge","dowdj@parliament.uk"
"Peter Dowd","Labour","Bootle","peter.dowd.mp@parliament.uk"
"Oliver Dowden","Conservative","Hertsmere","oliver.dowden.mp@parliament.uk"
"Jackie Doyle-Price","Conservative","Thurrock","jackie.doyleprice.mp@parliament.uk"
"Richard Drax","Conservative","South Dorset","richard.drax.mp@parliament.uk"
"Jack Dromey","Labour","Birmingham, Erdington","jack.dromey.mp@parliament.uk"
"Mrs Flick Drummond","Conservative","Portsmouth South","flick.drummond.mp@parliament.uk"
"James Duddridge","Conservative","Rochford and Southend East","james@jamesduddridge.com"
"Michael Dugher","Labour","Barnsley East","michael.dugher.mp@parliament.uk"
"Rt Hon Sir Alan Duncan","Conservative","Rutland and Melton","alan.duncan.mp@parliament.uk"
"Rt Hon Iain Duncan Smith","Conservative","Chingford and Woodford Green","olivia.kybett@parliament.uk"
"Mr Philip Dunne","Conservative","Ludlow","philip.dunne.mp@parliament.uk"
"Mark Durkan","Social Democratic & Labour Party","Foyle","mark.durkan.mp@parliament.uk"
"Ms Angela Eagle","Labour","Wallasey","eaglea@parliament.uk"
"Maria Eagle","Labour","Garston and Halewood","eaglem@parliament.uk"
"Jonathan Edwards","Plaid Cymru","Carmarthen East and Dinefwr","jonathan.edwards.mp@parliament.uk"
"Clive Efford","Labour","Eltham","effordc@parliament.uk"
"Julie Elliott","Labour","Sunderland Central","julie.elliott.mp@parliament.uk"
"Tom Elliott","Ulster Unionist Party","Fermanagh and South Tyrone","tom.elliott.mp@parliament.uk"
"Michael Ellis","Conservative","Northampton North","michael.ellis.mp@parliament.uk"
"Jane Ellison","Conservative","Battersea","jane.ellison.mp@parliament.uk"
"Mrs Louise Ellman","Labour (Co-op)","Liverpool, Riverside","louise.ellman.mp@parliament.uk; james.floyd@parliament.uk"
"Mr Tobias Ellwood","Conservative","Bournemouth East","tobias.ellwood.mp@parliament.uk"
"Charlie Elphicke","Conservative","Dover","charlie.elphicke.mp@parliament.uk"
"Natascha Engel","Labour","North East Derbyshire","natascha.engel.mp@parliament.uk"
"Bill Esterson","Labour","Sefton Central","bill.esterson.mp@parliament.uk"
"George Eustice","Conservative","Camborne and Redruth","george.eustice.mp@parliament.uk"
"Chris Evans","Labour (Co-op)","Islwyn","chris.evans.mp@parliament.uk"
"Graham Evans","Conservative","Weaver Vale","mail@grahamevansmp.com"
"Mr Nigel Evans","Conservative","Ribble Valley","evansn@parliament.uk"
"Rt Hon David Evennett","Conservative","Bexleyheath and Crayford","david.evennett.mp@parliament.uk"
"Michael Fabricant","Conservative","Lichfield",NA
"Rt Hon Michael Fallon","Conservative","Sevenoaks","michael.fallon.mp@parliament.uk"
"Paul Farrelly","Labour","Newcastle-under-Lyme","paul.farrelly.mp@parliament.uk"
"Tim Farron","Liberal Democrat","Westmorland and Lonsdale","farront@parliament.uk"
"Marion Fellows","Scottish National Party","Motherwell and Wishaw","marion.fellows.mp@parliament.uk"
"Suella Fernandes","Conservative","Fareham","suella.fernandes.mp@parliament.uk"
"Margaret Ferrier","Scottish National Party","Rutherglen and Hamilton West","margaret.ferrier.mp@parliament.uk"
"Rt Hon Frank Field","Labour","Birkenhead","fieldf@parliament.uk"
"Rt Hon Mark Field","Conservative","Cities of London and Westminster","fieldm@parliament.uk"
"Jim Fitzpatrick","Labour","Poplar and Limehouse","jim.fitzpatrick.mp@parliament.uk"
"Robert Flello","Labour","Stoke-on-Trent South","flellor@parliament.uk"
"Colleen Fletcher","Labour","Coventry North East","smithnb@parliament.uk"
"Rt Hon Caroline Flint","Labour","Don Valley","caroline.flint.mp@parliament.uk"
"Paul Flynn","Labour","Newport West","paulflynnmp@talk21.com"
"Kevin Foster","Conservative","Torbay","kevin.foster.mp@parliament.uk"
"Yvonne Fovargue","Labour","Makerfield","yvonne.fovargue.mp@parliament.uk"
"Rt Hon Dr Liam Fox","Conservative","North Somerset","douglasi@parliament.uk"
"Vicky Foxcroft","Labour","Lewisham, Deptford","vicky.foxcroft.mp@parliament.uk"
"Rt Hon Mark Francois","Conservative","Rayleigh and Wickford","mark.francois.mp@parliament.uk"
"Lucy Frazer","Conservative","South East Cambridgeshire","lucy.frazer.mp@parliament.uk"
"George Freeman","Conservative","Mid Norfolk","george.freeman.mp@parliament.uk"
"Mike Freer","Conservative","Finchley and Golders Green","mike.freer.mp@parliament.uk"
"Richard Fuller","Conservative","Bedford","richard.fuller.mp@parliament.uk"
"Marcus Fysh","Conservative","Yeovil","marcus.fysh.mp@parliament.uk"
"Sir Roger Gale","Conservative","North Thanet","galerj@parliament.uk"
"Mike Gapes","Labour (Co-op)","Ilford South","mike.gapes.mp@parliament.uk"
"Barry Gardiner","Labour","Brent North","gardinerb@parliament.uk"
"Mark Garnier","Conservative","Wyre Forest","mark.garnier.mp@parliament.uk"
"Rt Hon Sir Edward Garnier QC","Conservative","Harborough","garniere@parliament.uk"
"Mr David Gauke","Conservative","South West Hertfordshire","gauked@parliament.uk"
"Stephen Gethins","Scottish National Party","North East Fife","stephen.gethins.mp@parliament.uk"
"Nusrat Ghani","Conservative","Wealden","nusrat.ghani.mp@parliament.uk"
"Nick Gibb","Conservative","Bognor Regis and Littlehampton","gibbn@parliament.uk"
"Patricia Gibson","Scottish National Party","North Ayrshire and Arran","patricia.gibson.mp@parliament.uk"
"Rt Hon Cheryl Gillan","Conservative","Chesham and Amersham","cheryl.gillan.mp@parliament.uk"
"Pat Glass","Labour","North West Durham","pat.glass.mp@parliament.uk"
"John Glen","Conservative","Salisbury","john.glen.mp@parliament.uk"
"Mary Glindon","Labour","North Tyneside","mary.glindon.mp@parliament.uk"
"Mr Roger Godsiff","Labour","Birmingham, Hall Green","godsiffr@parliament.uk"
"Zac Goldsmith","Conservative","Richmond Park","zac@zacgoldsmith.com"
"Helen Goodman","Labour","Bishop Auckland","goodmanh@parliament.uk"
"Mr Robert Goodwill","Conservative","Scarborough and Whitby","robert.goodwill.mp@parliament.uk"
"Rt Hon Michael Gove","Conservative","Surrey Heath","michael.gove.mp@parliament.uk"
"Patrick Grady","Scottish National Party","Glasgow North","patrick.grady.mp@parliament.uk"
"Richard Graham","Conservative","Gloucester","richard.graham.mp@parliament.uk"
"Mrs Helen Grant","Conservative","Maidstone and The Weald","helen.grant.mp@parliament.uk "
"Peter Grant","Scottish National Party","Glenrothes","peter.grant.mp@parliament.uk"
"James Gray","Conservative","North Wiltshire","jamesgraymp@parliament.uk"
"Neil Gray","Scottish National Party","Airdrie and Shotts","neil.gray.mp@parliament.uk"
"Rt Hon Chris Grayling","Conservative","Epsom and Ewell","chris.grayling.mp@parliament.uk"
"Chris Green","Conservative","Bolton West","chris.green.mp@parliament.uk"
"Rt Hon Damian Green","Conservative","Ashford","damian.green.mp@parliament.uk"
"Kate Green","Labour","Stretford and Urmston","kate.green.mp@parliament.uk"
"Rt Hon Justine Greening","Conservative","Putney","greeningj@parliament.uk"
"Lilian Greenwood","Labour","Nottingham South","lilian.greenwood.mp@parliament.uk"
"Margaret Greenwood","Labour","Wirral West","margaret.greenwood.mp@parliament.uk"
"Rt Hon Dominic Grieve QC","Conservative","Beaconsfield","dominic.grieve.mp@parliament.uk"
"Nia Griffith","Labour","Llanelli","nia.griffith.mp@parliament.uk"
"Andrew Griffiths","Conservative","Burton","andrew.griffiths.mp@parliament.uk"
"Ben Gummer","Conservative","Ipswich","ben.gummer.mp@parliament.uk"
"Andrew Gwynne","Labour","Denton and Reddish","gwynnea@parliament.uk"
"Mr Sam Gyimah","Conservative","East Surrey","sam@samgyimah.com"
"Louise Haigh","Labour","Sheffield, Heeley","louise.haigh.mp@parliament.uk"
"Rt Hon Robert Halfon","Conservative","Harlow","halfon4harlow@roberthalfon.com"
"Luke Hall","Conservative","Thornbury and Yate","luke.hall.mp@parliament.uk"
"Fabian Hamilton","Labour","Leeds North East","fabian.hamilton.mp@parliament.uk"
"Rt Hon Philip Hammond","Conservative","Runnymede and Weybridge","hammondp@parliament.uk"
"Stephen Hammond","Conservative","Wimbledon","stephen.hammond.mp@parliament.uk"
"Rt Hon Matthew Hancock","Conservative","West Suffolk","matthew.hancock.mp@parliament.uk"
"Rt Hon Greg Hands","Conservative","Chelsea and Fulham","handsg@parliament.uk"
"Rt Hon David Hanson","Labour","Delyn","david.hanson.mp@parliament.uk"
"Rt Hon Harriet Harman QC","Labour","Camberwell and Peckham","harriet.harman.mp@parliament.uk"
"Rt Hon Mark Harper","Conservative","Forest of Dean","mark.harper.mp@parliament.uk"
"Harry Harpham","Labour","Sheffield, Brightside and Hillsborough","harry.harpham.mp@parliament.uk"
"Richard Harrington","Conservative","Watford","richard.harrington.mp@parliament.uk"
"Carolyn Harris","Labour","Swansea East","carolyn.harris.mp@parliament.uk"
"Rebecca Harris","Conservative","Castle Point","rebecca.harris.mp@parliament.uk"
"Simon Hart","Conservative","Carmarthen West and South Pembrokeshire","simon.hart.mp@parliament.uk"
"Rt Hon Sir Alan Haselhurst","Conservative","Saffron Walden","alan.haselhurst.mp@parliament.uk"
"Helen Hayes","Labour","Dulwich and West Norwood","helen.hayes.mp@parliament.uk"
"Rt Hon John Hayes","Conservative","South Holland and The Deepings","hayesj@parliament.uk"
"Sue Hayman","Labour","Workington","sue.hayman.mp@parliament.uk"
"Sir Oliver Heald QC","Conservative","North East Hertfordshire","Oliver.heald.mp@parliament.uk"
"Rt Hon John Healey","Labour","Wentworth and Dearne","john.healey.mp@parliament.uk"
"James Heappey","Conservative","Wells","james.heappey.mp@parliament.uk"
"Chris Heaton-Harris","Conservative","Daventry","chris.heatonharris.mp@parliament.uk"
"Peter Heaton-Jones","Conservative","North Devon","peter.heatonjones.mp@parliament.uk"
"Gordon Henderson","Conservative","Sittingbourne and Sheppey","gordon.henderson.mp@parliament.uk"
"Mr Mark Hendrick","Labour (Co-op)","Preston","mark.hendrick.mp@parliament.uk"
"Drew Hendry","Scottish National Party","Inverness, Nairn, Badenoch and Strathspey","drew.hendry.mp@parliament.uk"
"Mr Stephen Hepburn","Labour","Jarrow","hepburns@parliament.uk"
"Rt Hon Nick Herbert","Conservative","Arundel and South Downs","herbertn@parliament.uk"
"Lady Hermon","Independent","North Down","sylvia.hermon.mp@parliament.uk"
"Meg Hillier","Labour (Co-op)","Hackney South and Shoreditch","meghilliermp@parliament.uk"
"Damian Hinds","Conservative","East Hampshire","damian.hinds.mp@parliament.uk"
"Simon Hoare","Conservative","North Dorset","simon.hoare.mp@parliament.uk"
"Rt Hon Dame  Margaret Hodge","Labour","Barking","hodgem@parliament.uk"
"Mrs Sharon Hodgson","Labour","Washington and Sunderland West","sharon.hodgson.mp@parliament.uk"
"Kate Hoey","Labour","Vauxhall","hoeyk@parliament.uk"
"Kate Hollern","Labour","Blackburn","kate.hollern.mp@parliament.uk"
"George Hollingbery","Conservative","Meon Valley","george.hollingbery.mp@parliament.uk"
"Kevin Hollinrake","Conservative","Thirsk and Malton","kevin.hollinrake.mp@parliament.uk"
"Mr Philip Hollobone","Conservative","Kettering","philip.hollobone.mp@parliament.uk"
"Adam Holloway","Conservative","Gravesham","hollowaya@parliament.uk"
"Kelvin Hopkins","Labour","Luton North","hopkinsk@parliament.uk"
"Kris Hopkins","Conservative","Keighley","kris.hopkins.mp@parliament.uk"
"Stewart Hosie","Scottish National Party","Dundee East","hosies@parliament.uk"
"Rt Hon George Howarth","Labour","Knowsley","george.howarth.mp@parliament.uk"
"Sir Gerald Howarth","Conservative","Aldershot","geraldhowarth@parliament.uk"
"John Howell","Conservative","Henley","howelljm@parliament.uk"
"Ben Howlett","Conservative","Bath","ben.howlett.mp@parliament.uk"
"Rt Hon Lindsay Hoyle","Labour","Chorley","wilsonp@parliament.uk"
"Nigel Huddleston","Conservative","Mid Worcestershire","nigel.huddleston.mp@parliament.uk"
"Rt Hon Jeremy Hunt","Conservative","South West Surrey","huntj@parliament.uk"
"Tristram Hunt","Labour","Stoke-on-Trent Central","tristram.hunt.mp@parliament.uk"
"Dr Rupa Huq","Labour","Ealing Central and Acton","rupa.huq.mp@parliament.uk"
"Mr Nick Hurd","Conservative","Ruislip, Northwood and Pinner","nick.hurd.mp@parliament.uk"
"Imran Hussain","Labour","Bradford East","imran.hussain.mp@parliament.uk"
"Huw Irranca-Davies","Labour","Ogmore","irrancadaviesh@parliament.uk"
"Mr Stewart Jackson","Conservative","Peterborough","stewart.jackson.mp@parliament.uk"
"Margot James","Conservative","Stourbridge","margot.james.mp@parliament.uk"
"Dan Jarvis","Labour","Barnsley Central","dan.jarvis.mp@parliament.uk"
"Rt Hon Sajid Javid","Conservative","Bromsgrove","sajid.javid.mp@parliament.uk"
"Mr Ranil Jayawardena","Conservative","North East Hampshire","ranil.jayawardena.mp@parliament.uk"
"Mr Bernard Jenkin","Conservative","Harwich and North Essex","bernard.jenkin.mp@parliament.uk"
"Andrea Jenkyns","Conservative","Morley and Outwood","andrea.jenkyns.mp@parliament.uk"
"Robert Jenrick","Conservative","Newark",NA
"Rt Hon Alan Johnson","Labour","Kingston upon Hull West and Hessle","johnsona@parliament.uk"
"Boris Johnson","Conservative","Uxbridge and South Ruislip","boris.johnson.mp@parliament.uk"
"Diana Johnson","Labour","Kingston upon Hull North","johnsond@parliament.uk"
"Gareth Johnson","Conservative","Dartford","gareth.johnson.mp@parliament.uk"
"Joseph Johnson","Conservative","Orpington","jo.johnson.mp@parliament.uk"
"Andrew Jones","Conservative","Harrogate and Knaresborough","andrew.jones.mp@parliament.uk"
"Rt Hon David Jones","Conservative","Clwyd West","jonesdi@parliament.uk"
"Gerald Jones","Labour","Merthyr Tydfil and Rhymney","gerald.jones.mp@parliament.uk"
"Graham Jones","Labour","Hyndburn","graham.jones.mp@parliament.uk"
"Helen Jones","Labour","Warrington North","jonesh@parliament.uk"
"Mr Kevan Jones","Labour","North Durham","kevanjonesmp@parliament.uk"
"Mr Marcus Jones","Conservative","Nuneaton","marcus.jones.mp@parliament.uk"
"Susan Elan Jones","Labour","Clwyd South","susan.jones.mp@parliament.uk"
"Mike Kane","Labour","Wythenshawe and Sale East","mike.kane.mp@parliament.uk"
"Rt Hon Sir Gerald Kaufman","Labour","Manchester, Gorton","kaufmang@parliament.uk"
"Daniel Kawczynski","Conservative","Shrewsbury and Atcham","kawczynskid@parliament.uk"
"Barbara Keeley","Labour","Worsley and Eccles South",NA
"Liz Kendall","Labour","Leicester West","liz.kendall.mp@parliament.uk"
"Seema Kennedy","Conservative","South Ribble","seema.kennedy.mp@parliament.uk"
"George Kerevan","Scottish National Party","East Lothian","george.kerevan.mp@parliament.uk"
